root,relative_path,size,lines,mtime,suffix,flags,sha1
神经元重塑,"个人经验/原子笔记/商业沟通_听不明白很多时候是不想做.md",810,26,2026-06-26 13:52:32,.md,"",f6f0b39e741b553b42e5c0e5ab4d02e9452530a4
神经元重塑,"个人经验/原子笔记/外包剪辑的定版机制.md",1175,39,2026-04-30 17:04:36,.md,"",4f0119f5e3b249725410187a3a1f5cd855da6c75
神经元重塑,"个人经验/原子笔记/学生写作阶段诊断_能复制但写不出.md",1578,44,2026-04-30 17:04:36,.md,"",0be1a302c7eca3648f8f6400012fa215d0999522
神经元重塑,"个人经验/原子笔记/定位_专业赛道太挤时往上走一个层级.md",1136,34,2026-04-26 21:21:38,.md,"",ab0a79e21532095adcd39d14cbbeb4ba3e2c9b9c
神经元重塑,"个人经验/原子笔记/定位_目标受众默认收窄.md",1220,42,2026-05-09 19:38:06,.md,"",d973a3429e89b702065e557a6c396d40087a3322
神经元重塑,"个人经验/原子笔记/定位_账号内核要建在逻辑上不是工具上.md",1002,28,2026-04-26 21:21:12,.md,"",8cdb8cef226dc05f34ee28076cccd7768ac0f883
神经元重塑,"个人经验/原子笔记/家政服务_慢可以但必须干净.md",894,26,2026-06-26 13:52:32,.md,"",a9c9f0150fdef146218fcdeaada7926c274f4515
神经元重塑,"个人经验/原子笔记/开头0帧起手需要嵌入上下文关键词.md",1877,54,2026-05-07 22:05:21,.md,"",e94b2abdec6719350ab1dd9fbac8336a5957d618
神经元重塑,"个人经验/原子笔记/开放式提问要分层跟着情绪路径走.md",2063,46,2026-04-26 10:58:19,.md,"",bc5bf5a011f18b3e81b0d66a75ea9493885c5f0c
神经元重塑,"个人经验/原子笔记/执行管理_有过程无结果是检测盲区.md",914,26,2026-06-26 13:52:32,.md,"",f8ed72d13173fc0c1fd7751d1b7bfb9dcbd93313
神经元重塑,"个人经验/原子笔记/拍摄_边听音乐边录口播.md",1059,32,2026-05-03 13:14:04,.md,"",73b098a2a7035bc98d22a485bcad3b25e4d110eb
神经元重塑,"个人经验/原子笔记/拍摄紧张的预期管理.md",1288,39,2026-04-30 17:04:36,.md,"",d48cefa650ae0e76fe70bb6f601d0edb6e4cb2b0
神经元重塑,"个人经验/原子笔记/操盘思维_为结果做不为交付做.md",968,26,2026-06-26 13:52:32,.md,"",ea57991b1fc0d5811ea80742a1e8dfddb26cfaad
神经元重塑,"个人经验/原子笔记/教视频制作类内容的违规绕过策略_教学改经验分享.md",2190,53,2026-04-30 16:17:26,.md,"",b1a77a7d2eff01e8ce5f74ba9268743139a7d2f5
神经元重塑,"个人经验/原子笔记/文学性原稿改短视频的核心动作.md",745,24,2026-04-26 10:58:19,.md,"",6ef767b178fe164d83a846ca437f861d0d01a47f
神经元重塑,"个人经验/原子笔记/文案_感官通感植入.md",2396,74,2026-05-09 00:56:12,.md,"",36ca4cf397dd82a4485590d56453d7507b564903
神经元重塑,"个人经验/原子笔记/文案_结尾引导互动激起欲望不是发出指令.md",2906,72,2026-05-09 00:57:43,.md,"",5f45c75714c5b183fa629ab77bc5b1e667b08fb0
神经元重塑,"个人经验/原子笔记/文案_防御式文案先自黑再反手.md",2350,72,2026-05-09 00:56:56,.md,"",703ac611fac32dedfaaa24ec462edffa600827e0
神经元重塑,"个人经验/原子笔记/新人起步期的表达节奏.md",1401,39,2026-05-11 22:53:07,.md,"",92cae0301176e47a14c4b7135aff1947347426db
神经元重塑,"个人经验/原子笔记/服务流程_每完成一个客户反推行业知识入库.md",2102,57,2026-06-01 15:13:49,.md,"",4f85a04b5d313458ac578c8fb9a001cf845b97ef
神经元重塑,"个人经验/原子笔记/标题写作_三维度强制自检框架.md",1908,53,2026-04-27 09:37:04,.md,"",5d8f6ce395601a2be17940270c71f717e9de83f0
神经元重塑,"个人经验/原子笔记/根据IP表达能力选择交付形式.md",1521,37,2026-05-06 19:16:03,.md,"",936dfbc3045e0ea7d6c9a3ec0ca2a6516bf385f9
神经元重塑,"个人经验/原子笔记/知识库巡检的教训.md",1190,29,2026-05-06 20:56:22,.md,"",afa15f88209832bd6cf13a6f2dfd843061fadf8f
神经元重塑,"个人经验/原子笔记/知识类IP封面设计_图形锚点与主题色体系.md",3066,84,2026-04-30 17:03:31,.md,"",e441973c4ac5f4cce0888242fb80cdda476c1874
神经元重塑,"个人经验/原子笔记/短视频开头禁止自我介绍必须0帧起手.md",2088,51,2026-05-09 00:46:22,.md,"",0c2b6c37bfabd42bc231b986c9ca2a2ead5200d9
神经元重塑,"个人经验/原子笔记/短视频文案四大通用技法.md",2339,65,2026-05-09 00:51:35,.md,"",a6acc3aa0d0e49bf132a0882caf3929c594a8a1c
神经元重塑,"个人经验/原子笔记/短视频骨架三段论.md",854,26,2026-04-26 10:58:19,.md,"",caad01c952f097373d2eed7b6075a69e74e5ca47
神经元重塑,"个人经验/原子笔记/策略文件对外版不要过度简化.md",1889,53,2026-05-10 17:35:41,.md,"",1acae57ca699f78b3ffa3ee5dc773626c8e50c0b
神经元重塑,"个人经验/原子笔记/精细化处理的节奏感.md",1614,54,2026-05-09 00:54:55,.md,"",32da4f8ebae65d97d8ef85522bdb7d231677fe84
神经元重塑,"个人经验/原子笔记/素材缺口时用拍摄提示+开放式提问填充.md",1834,41,2026-04-26 10:57:43,.md,"",12eff8e9fc20983527c13461ed1d0de0dcf4c476
神经元重塑,"个人经验/原子笔记/老板IP拓合作伙伴时的现有客户视角风险.md",1308,43,2026-04-26 10:55:23,.md,"",25864204997f08d1c9b5424a966573493f9cc3ae
神经元重塑,"个人经验/原子笔记/老板IP涉及利益机制时的受众冲突风险.md",1250,43,2026-04-26 10:55:23,.md,"",46cd0f9e358d85c68a46a57a02cedd500a9dfd3c
神经元重塑,"个人经验/原子笔记/脚本_每条内容背后必须藏一个敌人.md",2469,78,2026-05-09 00:45:51,.md,"",236c16d7712ca5c4e67c6f2def9db67afaf658af
神经元重塑,"个人经验/原子笔记/脚本写作_从0到1协作经验五条.md",2637,78,2026-04-26 10:57:59,.md,"",26be18da2e39c4bde4f839b9ee795ce6bed2bd62
神经元重塑,"个人经验/原子笔记/获客门槛_真正的壁垒是判断力.md",959,26,2026-06-26 13:52:32,.md,"",ad073672d45a08394d1bb1b079e3c2543485a19a
神经元重塑,"个人经验/原子笔记/视频进度条设计法.md",2948,90,2026-06-23 11:18:21,.md,"",d52011d5043c89cd2f9a9c33b0ea28570b6cdd74
神经元重塑,"个人经验/原子笔记/课程设计_自己没跑通的事不能教.md",923,26,2026-06-26 13:52:32,.md,"",32bb322f2b85c113cd771e49e872d213de3980c5
神经元重塑,"个人经验/原子笔记/账号定位_一句话定位要过受众视角测试.md",1415,34,2026-04-26 21:16:58,.md,"",ff7955d1cf53264797e35835c9a590cd096c6d61
神经元重塑,"个人经验/原子笔记/账号定位_三维筛选法与竞品分析框架.md",1511,60,2026-04-26 10:58:19,.md,"",52f980081e949ebe274ab3c09e96674b82406640
神经元重塑,"个人经验/原子笔记/账号定位_不能只看单一维度是多轮迭代过程.md",1557,47,2026-04-26 21:16:43,.md,"",19b1cbce3224ac832022553a4aeeec08482288cd
神经元重塑,"个人经验/原子笔记/账号定位_不能只看现在做什么要挖想被记住什么.md",1373,29,2026-04-26 21:16:23,.md,"",ffd917e3e9622a1b620b695be91954ce291e5b6e
神经元重塑,"个人经验/原子笔记/账号定位_揣测试探校准的多轮迭代逻辑.md",2194,54,2026-05-06 19:39:13,.md,"",cf9ddca23445c0816960c18ef382ac4912a560f1
神经元重塑,"个人经验/原子笔记/选题挑选-5大热点渠道SOP.md",3199,89,2026-04-26 10:55:23,.md,"",2726e33daa57b91203b5f6451b53ff3ce8403257
神经元重塑,"个人经验/原子笔记/顾问服务_接客户前的三维判断框架.md",973,26,2026-04-26 21:20:44,.md,"",6102b761aaa717492cbc69137c931df475d1364c
神经元重塑,"个人经验/原子笔记/骨架里要有血肉-每100字一个高光时刻.md",1495,37,2026-04-26 10:57:59,.md,"",dffc8c7ca147a86c104ae3c1154ca92e6625e1ef
神经元重塑,"学习方法论/原子笔记/安先生_献祭灵魂换注意力.md",4930,75,2026-05-04 22:52:19,.md,"",43d6efee28d90ce2683e3bcb17a22ba935a3f8f0
神经元重塑,"我的方法论/Skill接口依赖地图.md",4255,118,2026-06-27 23:12:59,.md,"索引导航文件",1af55fedeab378868fd1f68d5c102593dd94a2e2
神经元重塑,"我的方法论/_待审入库/金字塔原理-7±2信息密度控制.md",2329,54,2026-05-11 09:32:21,.md,"",1b7b508c7d0cf30a899a4f124821ed23dc2f3655
神经元重塑,"我的方法论/_待审入库/金字塔原理-四种逻辑顺序选择.md",1998,52,2026-05-11 09:33:38,.md,"",5ad303d3189b034d00c5f9db155148c14e8972d3
神经元重塑,"我的方法论/_待审入库/金字塔原理-归类分组检查法.md",2144,54,2026-05-11 09:33:13,.md,"",a186fe7271c074775a127850203f3fb66015bbff
神经元重塑,"我的方法论/_待审入库/金字塔原理-疑问回答式钩子.md",2547,51,2026-05-11 09:31:55,.md,"",f31466911dec2c6729f85ce937643760c6a34158
神经元重塑,"我的方法论/_待审入库/金字塔原理-自下而上思考自上而下表达.md",2575,58,2026-05-11 09:32:47,.md,"",b3e3d14c31a3783b042263abc72c59d0b7c3e31b
神经元重塑,"我的方法论/原子笔记/养老保险行业内容性别平衡.md",617,24,2026-06-14 04:00:39,.md,"",5a53e20b2cbab27247c644267d22a16022947f7c
神经元重塑,"我的方法论/原子笔记/内容创作_行业共性提炼法.md",3834,88,2026-05-31 17:47:10,.md,"",b8dd846f25182f072d72e33ba4b63f0a3e5296c4
神经元重塑,"我的方法论/原子笔记/内容创作_门店员工口播四步写法.md",2811,94,2026-06-15 10:49:24,.md,"",9d247f6653ca2970b4c09345c98cfa2af27685b6
神经元重塑,"我的方法论/原子笔记/剪辑_BGM起承转合与声音层次.md",1106,17,2026-04-21 15:13:33,.md,"",e4fb68b98815248da01fee7d868a7c9ac549938e
神经元重塑,"我的方法论/原子笔记/剪辑_声音骨架画面填空BGM起承转合.md",1094,17,2026-04-21 15:11:44,.md,"",a3c38a5092c90e34de8dc3912c320a8c30094cf9
神经元重塑,"我的方法论/原子笔记/剪辑_视频生产五步流程.md",1125,17,2026-04-21 15:13:33,.md,"",d179b863c85b168bc5bce61864259fd7dc47ea6a
神经元重塑,"我的方法论/原子笔记/剪辑_镜头语言线性关系.md",860,17,2026-04-21 15:11:44,.md,"",0284d566750d507a142160ec818de52f54882fe8
神经元重塑,"我的方法论/原子笔记/变现_三种基本变现模式.md",1210,20,2026-04-26 10:47:04,.md,"",d986fb22e6d25e196aa5e5676023e8d5eee2b3c3
神经元重塑,"我的方法论/原子笔记/变现_免费分享是最强变现策略.md",1068,17,2026-04-21 15:19:25,.md,"",dfba12f513c0c4c014f36b4c1ece3c471f04ec61
神经元重塑,"我的方法论/原子笔记/变现_变现三角流量信任产品.md",1184,17,2026-04-21 15:19:25,.md,"",d9d8e0c2351b3be471918ddbf7a44dc0fd78a90a
神经元重塑,"我的方法论/原子笔记/商业判断_消费从便宜到好用的转变.md",1326,38,2026-05-31 23:34:21,.md,"",0334fa57a1b4f452d91d9e2c1d7166da7a420b2d
神经元重塑,"我的方法论/原子笔记/定位_人设型vs内容型的选择.md",1101,17,2026-04-21 14:48:23,.md,"",023161f7b14ef1a6aeab190de7bfdc867d944487
神经元重塑,"我的方法论/原子笔记/定位_多平台发布策略.md",927,20,2026-04-26 10:50:21,.md,"",ea7b74e0a369b60f8458e0de36345e248e602dfe
神经元重塑,"我的方法论/原子笔记/定位_特殊经历和弱点是最强人设.md",1398,20,2026-05-06 19:38:55,.md,"",30cc40df96dec09bace0ac55996e586525e76cbe
神经元重塑,"我的方法论/原子笔记/定位_知识类改观点分享类.md",1294,40,2026-05-09 19:38:06,.md,"",d2da134ce97af87d83d6f5a350173401aa275022
神经元重塑,"我的方法论/原子笔记/定位_自媒体vs流媒体的判断标准.md",1032,17,2026-04-21 14:49:58,.md,"",149f5c4373f4c02805e69b40f1d6e516d7c4fe4e
神经元重塑,"我的方法论/原子笔记/定位_自媒体本质是把自己变成流量体.md",1115,17,2026-04-21 14:51:31,.md,"",32315db5ff97c134edd856bd7cf5aadbb665d9c4
神经元重塑,"我的方法论/原子笔记/定位_账号定位的核心公式.md",1067,17,2026-04-21 14:49:58,.md,"",1028d3a924b5f2ceb3bbc4351837468aef61aeb2
神经元重塑,"我的方法论/原子笔记/定位_账号搭建三阶段.md",1109,17,2026-04-21 14:52:43,.md,"",d802f07b5075ac79f037867785e1b40406e67f21
神经元重塑,"我的方法论/原子笔记/定位_陪伴型博主vs导师型.md",1374,44,2026-05-09 19:38:06,.md,"",3c14997fda6d401aaa7119d487834a5fd25c1624
神经元重塑,"我的方法论/原子笔记/工具_语音转写选型-paraformer-v2.md",1119,45,2026-05-31 22:35:12,.md,"",7020a8cf807d1e53c4c8b5c1773269b6cd9afea3
神经元重塑,"我的方法论/原子笔记/思考方式_MECE原则—分类无重叠无遗漏.md",2934,72,2026-05-11 09:46:42,.md,"",3791b6ed140025da35dc5d23811669bf0c5ab255
神经元重塑,"我的方法论/原子笔记/思考方式_人感大于AI感的内容信任逻辑.md",1936,58,2026-04-30 16:28:24,.md,"",6a74c844823486bcee87c286bb9c790ffc3dbd0d
神经元重塑,"我的方法论/原子笔记/思考方式_信任感是一切变现的前提.md",815,20,2026-04-21 16:24:28,.md,"",254055f06837da860e8fa28a38533bc6268b0736
神经元重塑,"我的方法论/原子笔记/思考方式_好奇心驱动的内容骨架.md",2205,73,2026-05-02 00:26:28,.md,"",e20d9c3c22dab3c936a296e2ec1909061ee1dae8
神经元重塑,"我的方法论/原子笔记/思考方式_情绪三起三落双轨设计法.md",5942,178,2026-05-03 10:27:48,.md,"",27738937f96732629e6de70650f2761ff4b55449
神经元重塑,"我的方法论/原子笔记/思考方式_情绪是内容的底层驱动力.md",722,20,2026-04-21 16:24:28,.md,"",d346e0919eafe1aa52afee13091df7b0979332f2
神经元重塑,"我的方法论/原子笔记/思考方式_感性和理性同时调用.md",1135,17,2026-04-21 15:22:04,.md,"",471bd8fa8018362a3e57ca43854bd3c7a5ea63ca
神经元重塑,"我的方法论/原子笔记/思考方式_改变思考方式是最难的部分.md",1125,17,2026-04-21 15:22:47,.md,"",e431182c630bcab583f58b680aa8c713407c6883
神经元重塑,"我的方法论/原子笔记/思考方式_数据是反馈不是评判.md",1039,17,2026-04-21 15:22:04,.md,"",8c8c27a645569a8085451b43b10f4340b4d8f74b
神经元重塑,"我的方法论/原子笔记/思考方式_数据诊断三维复盘法.md",1086,21,2026-04-26 10:50:21,.md,"",e703597fdc3c8fce2faebc5e059e85b15523b4a6
神经元重塑,"我的方法论/原子笔记/思考方式_消费者替代方案思维.md",1064,17,2026-04-21 15:22:47,.md,"",e258114e28ac64075263e162a88335a5b5327020
神经元重塑,"我的方法论/原子笔记/思考方式_演绎归纳二选一—呈现用归纳思考用演绎.md",3057,70,2026-05-11 08:28:34,.md,"",6e432e402cbad3037ff9c19cff672ebcb3df085e
神经元重塑,"我的方法论/原子笔记/思考方式_画面声音文字三位一体.md",746,20,2026-04-21 16:24:28,.md,"",876815791ddc565b59bcf5d69ba59dbd6055f078
神经元重塑,"我的方法论/原子笔记/思考方式_神奇数字7与信息分组原则.md",1644,34,2026-05-11 08:30:00,.md,"",cef20e199915350c2155f14acf18782cd23b64c2
神经元重塑,"我的方法论/原子笔记/思考方式_自下而上思考自上而下表达.md",3099,75,2026-05-11 09:46:09,.md,"",3e171819c7aa4a55dadf4f845b1ea4c7979cf232
神经元重塑,"我的方法论/原子笔记/思考方式_行动优先70分原则.md",1110,17,2026-04-21 15:21:05,.md,"",277346fdb734fc5fe1fc978e20a18140dd11318c
神经元重塑,"我的方法论/原子笔记/思考方式_金字塔四种逻辑顺序.md",3931,98,2026-05-11 08:29:27,.md,"",43bcb5f8c825e17920f6aea3deb2f4c63330390e
神经元重塑,"我的方法论/原子笔记/思考方式_钩子七种类型整合.md",698,20,2026-04-21 16:24:28,.md,"",b7e6be1a73759e04fed9a3e6f300308e4a8aa611
神经元重塑,"我的方法论/原子笔记/思考方式_需求真实存在但需要被唤醒.md",700,20,2026-04-21 16:24:28,.md,"",7abb7b9e2dcb26cb810d8a48c2ec3312a2b62f8b
神经元重塑,"我的方法论/原子笔记/拍摄_帮观众在想象中购物.md",1102,17,2026-04-21 15:10:31,.md,"",bddf8708d7311b3cfdc3a3bab8650762f78fd783
神经元重塑,"我的方法论/原子笔记/拍摄_景别视角影调三步决策.md",1197,17,2026-04-21 15:10:31,.md,"",6ea7bf3a5ca1f2ca90887e6c01e2a5e2e9a92c09
神经元重塑,"我的方法论/原子笔记/文案_SCQA序言框架—开场的骨架与四种变体.md",3753,79,2026-05-11 08:26:59,.md,"",e79eb5107c137a6940812141c2c801585aa968d3
神经元重塑,"我的方法论/原子笔记/文案_互动评论设计原则.md",1291,22,2026-04-26 10:50:40,.md,"",5f0bd579494685769b2f19d069ca372d00419fcf
神经元重塑,"我的方法论/原子笔记/文案_从抽象到具象是基本功.md",1971,33,2026-05-11 22:53:07,.md,"",b6b4ed67a24702c08f9255104895da5a202998d5
神经元重塑,"我的方法论/原子笔记/文案_从自嗨到它嗨.md",1076,17,2026-04-21 15:01:58,.md,"",624219844d034dbaa79af0b5fcf2b03820fb162f
神经元重塑,"我的方法论/原子笔记/文案_即兴语感与写稿语感的差异.md",2158,63,2026-05-31 23:34:21,.md,"",c9137b5189f59557f89c33906733abcf3de48bbc
神经元重塑,"我的方法论/原子笔记/文案_声音优先先写文案再配画面.md",1731,30,2026-04-30 16:28:48,.md,"",17f9b620c612c3a0ff45befa947130ae78cd5659
神经元重塑,"我的方法论/原子笔记/文案_对白独白旁白三种演绎语法.md",1222,17,2026-04-21 15:07:22,.md,"",209e30312746da19654970a05f32e989d66950f2
神经元重塑,"我的方法论/原子笔记/文案_封面文字铁律—行业标签加人设点.md",1549,45,2026-06-03 12:44:48,.md,"",054a248a9df8c4f8a5ce97a8dd66b726c9a50051
神经元重塑,"我的方法论/原子笔记/文案_文案的本质是引导行为留下三样东西.md",1098,17,2026-04-21 15:01:58,.md,"",c06425fca3466db5dcf64446c0662c44bc42f1bc
神经元重塑,"我的方法论/原子笔记/文案_文案的核心功能是引导行为.md",1242,18,2026-04-21 15:00:23,.md,"",979c3cf67bae9e729877cd811a76a06c387cfb85
神经元重塑,"我的方法论/原子笔记/文案_核心卖点只有一个.md",1150,17,2026-04-21 15:07:22,.md,"",1430486839fc01dd04dc02a698041fe5c65aed16
神经元重塑,"我的方法论/原子笔记/文案_疑问回答式钩子—每句话制造下一个疑问.md",2457,59,2026-05-11 09:45:27,.md,"",57e55c5e43c10477ec03547e6ebaa78b6345fd36
神经元重塑,"我的方法论/原子笔记/文案_短视频文案结构总分总加100字一单元.md",1421,18,2026-04-29 08:07:09,.md,"",7f6046bb6b3b6e22471707d3e78e126dc8e09399
神经元重塑,"我的方法论/原子笔记/文案_解释做法式写法（流程对比驱动结构）.md",2532,61,2026-04-22 09:03:39,.md,"",dd14eafdc36f0e673f846dcafc268af25ae3277b
神经元重塑,"我的方法论/原子笔记/文案_请求支持式写法（背景冲突疑问框架）.md",2214,45,2026-04-22 09:03:01,.md,"",a8f6ea0cae8641d2ce71f5d5eed1675af42a9faa
神经元重塑,"我的方法论/原子笔记/文案_金字塔检查六项—骨架验证层.md",6154,167,2026-05-15 07:23:08,.md,"",cfd60301cd9ca8b01090d231a0caa5a75220e597
神经元重塑,"我的方法论/原子笔记/短视频_安先生技法全集-柯哥适配版.md",19365,359,2026-05-03 15:01:00,.md,"",797936035a15ce4a2e5ca87fda554af87068772f
神经元重塑,"我的方法论/原子笔记/苏格拉底式碰撞而非搬运.md",3092,61,2026-05-09 18:44:25,.md,"",8f687fc71e1dbb9211eb52ce2e39d77d754ab175
神经元重塑,"我的方法论/原子笔记/视觉_PPT动画替代B-ROLL的知识类IP方案.md",2425,79,2026-04-30 16:27:56,.md,"",be991ab6b2b503a4dfde43d016e1b0bb10dfe8de
神经元重塑,"我的方法论/原子笔记/视觉美学_影调色彩光线三层决策.md",1146,17,2026-04-21 15:16:39,.md,"",908966f7ca06d798ce50229f0eeb8ff80c6458b5
神经元重塑,"我的方法论/原子笔记/视觉美学_焦段与空间关系.md",902,17,2026-04-21 15:16:39,.md,"",88a1236b01c646ad5bce3dc318a11f15704dbd9f
神经元重塑,"我的方法论/原子笔记/运营_没有关键词，算法不认识你的视频.md",4600,107,2026-05-20 22:26:00,.md,"",ff813b1d1709d055c358a34d9a44f031fc7a32cc
神经元重塑,"我的方法论/原子笔记/选题_冷启动期内容策略.md",986,20,2026-04-26 10:50:21,.md,"",f3bf34232538c4b5b623202e91c5a0bed6133a30
神经元重塑,"我的方法论/原子笔记/选题_围绕自己展开且保持垂直.md",1350,21,2026-05-06 19:38:28,.md,"",acd32cd70442ac24deaeadf4e06813f8e0a3e4ab
神经元重塑,"我的方法论/原子笔记/选题_每条视频要有赌注.md",1027,17,2026-04-21 14:58:23,.md,"",4c906161c91a4565a3518fc72b4564837513dd01
神经元重塑,"我的方法论/原子笔记/选题_热点选题五大渠道SOP.md",1325,23,2026-04-26 10:50:21,.md,"",789318a760b5e07e4d81c69387b62c1364fc5eca
